region,date,confirm,breakpoint
Wales,2020-09-12,140,0
Northern Ireland,2020-09-12,107,0
Wales,2020-09-13,165,1
Northern Ireland,2020-09-13,91,1
Wales,2020-09-14,191,0
Northern Ireland,2020-09-14,120,0
Wales,2020-09-15,164,0
Northern Ireland,2020-09-15,108,0
Wales,2020-09-16,207,0
Northern Ireland,2020-09-16,136,0
Wales,2020-09-17,261,0
Northern Ireland,2020-09-17,170,0
Wales,2020-09-18,246,0
Northern Ireland,2020-09-18,168,0
Wales,2020-09-19,280,0
Northern Ireland,2020-09-19,161,0
Wales,2020-09-20,252,1
Northern Ireland,2020-09-20,124,1
Wales,2020-09-21,309,0
Northern Ireland,2020-09-21,135,0
Wales,2020-09-22,379,0
Northern Ireland,2020-09-22,171,0
Wales,2020-09-23,378,0
Northern Ireland,2020-09-23,221,0
Wales,2020-09-24,316,0
Northern Ireland,2020-09-24,286,0
Wales,2020-09-25,385,0
Northern Ireland,2020-09-25,245,0
Wales,2020-09-26,403,0
Northern Ireland,2020-09-26,270,0
Wales,2020-09-27,317,1
Northern Ireland,2020-09-27,273,1
Wales,2020-09-28,426,0
Northern Ireland,2020-09-28,300,0
Wales,2020-09-29,466,0
Northern Ireland,2020-09-29,397,0
Wales,2020-09-30,596,0
Northern Ireland,2020-09-30,644,0
Wales,2020-10-01,623,0
Northern Ireland,2020-10-01,486,0
Wales,2020-10-02,599,0
Northern Ireland,2020-10-02,702,0
Wales,2020-10-03,518,0
Northern Ireland,2020-10-03,627,0
Wales,2020-10-04,614,1
Northern Ireland,2020-10-04,616,1
Wales,2020-10-05,703,0
Northern Ireland,2020-10-05,716,0
Wales,2020-10-06,770,0
Northern Ireland,2020-10-06,807,0
Wales,2020-10-07,848,0
Northern Ireland,2020-10-07,1042,0
Wales,2020-10-08,828,0
Northern Ireland,2020-10-08,991,0
Wales,2020-10-09,782,0
Northern Ireland,2020-10-09,856,0
Wales,2020-10-10,619,0
Northern Ireland,2020-10-10,806,0
Wales,2020-10-11,625,1
Northern Ireland,2020-10-11,838,0
Wales,2020-10-12,782,0
Northern Ireland,2020-10-12,1119,0
Wales,2020-10-13,952,0
Northern Ireland,2020-10-13,1099,0
Wales,2020-10-14,904,0
Northern Ireland,2020-10-14,1077,0
Wales,2020-10-15,791,0
Northern Ireland,2020-10-15,1118,0
Wales,2020-10-16,952,0
Northern Ireland,2020-10-16,985,1
Wales,2020-10-17,708,0
Northern Ireland,2020-10-17,856,0
Wales,2020-10-18,715,1
Northern Ireland,2020-10-18,801,0
Wales,2020-10-19,1110,0
Northern Ireland,2020-10-19,1063,0
Wales,2020-10-20,1237,0
Northern Ireland,2020-10-20,1088,0
Wales,2020-10-21,1262,0
Northern Ireland,2020-10-21,1141,0
Wales,2020-10-22,1056,0
Northern Ireland,2020-10-22,1104,0
Wales,2020-10-23,1197,0
Northern Ireland,2020-10-23,903,0
Wales,2020-10-24,1024,1
Northern Ireland,2020-10-24,781,0
Wales,2020-10-25,936,0
Northern Ireland,2020-10-25,709,0
Wales,2020-10-26,1556,0
Northern Ireland,2020-10-26,940,0
Wales,2020-10-27,1472,0
Northern Ireland,2020-10-27,860,0
Wales,2020-10-28,1345,0
Northern Ireland,2020-10-28,797,0
Wales,2020-10-29,1549,0
Northern Ireland,2020-10-29,730,0
Wales,2020-10-30,,0
Northern Ireland,2020-10-30,,0
Wales,2020-10-31,,0
Northern Ireland,2020-10-31,,0
Northern Ireland,2020-11-01,,0
Northern Ireland,2020-11-02,,0
